bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
pascal	0.833	2025	3	Scientific Reports	Deep reinforcement learning-driven personalized training load control algorithm for competitive sports performance optimization	10.1038/s41598-025-30453-z		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2026	0	Discover Artificial Intelligence	Deep learning-based dynamic prediction of physical energy expenditure and training intensity optimization system for university sports training	10.1007/s44163-026-01320-1		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2026	0	Neurocomputing	A triple-inertial accelerated alternating optimization method for deep learning training	10.1016/j.neucom.2026.132997		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2025	1	Informatica	Multimodal Deep Learning and Reinforcement Learning Framework for Personalized Sports Training and Recovery Optimization	10.31449/inf.v49i32.8605		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2025	2	Physics of Fluids	Flow characteristics prediction and sealing performance optimization of labyrinth seals in organic Rankine cycle with deep learning	10.1063/5.0280836		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2025	19	Scientific Reports	The optimization of youth football training using deep learning and artificial intelligence	10.1038/s41598-025-93159-2		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2025	1	Physics of Fluids	A synthetic approach for high-fidelity aerodynamic performance optimization of large-scale wind turbine blades based on hybrid deep learning networks	10.1063/5.0264659		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2025	0	International Journal of Computer Science and Information Technology	Practice and Optimization of Deep Learning Model Training	10.62051/ijcsit.v5n1.05		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2024	8	Physics of Fluids	Performance prediction and design optimization of a transonic rotor based on deep transfer learning	10.1063/5.0221767		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2024	10	Heliyon	The optimization of college tennis training and teaching under deep learning	10.1016/j.heliyon.2024.e25954		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2024	10	Heliyon	Deep learning neural network-assisted badminton movement recognition and physical fitness training optimization	10.1016/j.heliyon.2024.e38865		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2024	3	Applied Sciences	Collective Communication Performance Evaluation for Distributed Deep Learning Training	10.3390/app14125100		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2023	16	IEEE Access	Deep Learning Based Design Methodology for Electric Machines: Data Acquisition, Training and Optimization	10.1109/access.2023.3247011		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2023	0	System technologies	Improving deep learning performance by augmenting training data	10.34185/1562-9945-4-147-2023-10		crossref	GTX 1070 deep learning training performance optimization
pascal	0.667	2022	84	IEEE Transactions on Cybernetics	Appropriate Learning Rates of Adaptive Learning Rate Optimization Algorithms for Training Deep Neural Networks	10.1109/tcyb.2021.3107415		crossref	GTX 1070 deep learning training performance optimization
pascal	0.571	2026	0	Physics Letters B	Explore the high precision and interpretability of deep learning in the calculation of α decay half life	10.1016/j.physletb.2026.140609		crossref	Pascal GP104 half precision FP16 throughput deep learning training
pascal	0.571	2026	0	Communications Medicine	High-throughput spheroid-based assay for functional breast cancer precision medicine facilitated by deep learning	10.1038/s43856-025-01359-8		crossref	Pascal GP104 half precision FP16 throughput deep learning training
pascal	0.571	2025	7	Expert Systems with Applications	Adaptive precision layering for efficient adversarial training of deep learning models in intelligent vehicles	10.1016/j.eswa.2025.126752		crossref	Pascal GP104 half precision FP16 throughput deep learning training
pascal	0.571	2024	2	RSC Advances	High precision deep-learning model combined with high-throughput screening to discover fused [5,5] biheterocyclic energetic materials with excellent comprehensive properties	10.1039/d4ra03233k		crossref	Pascal GP104 half precision FP16 throughput deep learning training
pascal	0.571	2023	11	Science Advances	Deep-learning–assisted Sort-Seq enables high-throughput profiling of gene expression characteristics with high precision	10.1126/sciadv.adg5296		crossref	Pascal GP104 half precision FP16 throughput deep learning training
pascal	0.571	2023	8	Clinical Radiology	Deep-learning measurement of intracerebral haemorrhage with mixed precision training: a coarse-to-fine study	10.1016/j.crad.2022.12.019		crossref	Pascal GP104 half precision FP16 throughput deep learning training
pascal	0.571	2021	138	Scientific Reports	TEMImageNet training library and AtomSegNet deep-learning models for high-precision atom segmentation, localization, denoising, and deblurring of atomic-resolution images	10.1038/s41598-021-84499-w		crossref	Pascal GP104 half precision FP16 throughput deep learning training
memoria	0.556	2026	0	International Research Journal of Modernization in Engineering Technology &amp; Science	TIER-BASED OPTIMIZATION OF IMAGE TRAINING DATA FOR EFFICIENT CONVOLUTIONAL NEURAL NETWORK LEARNING	10.56726/irjmets89664		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2026	0	Engineering Computations	Convolutional neural network-based isogeometric topology optimization without pre-optimized training data	10.1108/ec-05-2025-0557		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2025	1	PLOS One	Enhanced convolutional neural network accelerators with memory optimization for routing applications	10.1371/journal.pone.0320813		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2025	3	Applied Sciences	ClipQ: Clipping Optimization for the Post-Training Quantization of Convolutional Neural Network	10.3390/app15073980		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2025	1	Big Data and Cognitive Computing	Efficient Scheduling for GPU-Based Neural Network Training via Hybrid Reinforcement Learning and Metaheuristic Optimization	10.3390/bdcc9110284		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2024	7	Network: Computation in Neural Systems	Support vector machine-based stock market prediction using long short-term memory and convolutional neural network with aquila circle inspired optimization	10.1080/0954898x.2024.2358957		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2024	27	Water	Comparative Analysis of Convolutional Neural Network-Long Short-Term Memory, Sparrow Search Algorithm-Backpropagation Neural Network, and Particle Swarm Optimization-Extreme Learning Machine Models for the Water Discharge of the Buzău River, Romania	10.3390/w16020289		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2024	6	Future Generation Computer Systems	pommDNN: Performance optimal GPU memory management for deep neural network training	10.1016/j.future.2023.10.025		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2024	19	Sensors	Forecasting a Short-Term Photovoltaic Power Model Based on Improved Snake Optimization, Convolutional Neural Network, and Bidirectional Long Short-Term Memory Network	10.3390/s24123897		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2022	19	Expert Systems with Applications	Convolutional neural network-long short term memory optimization for accurate prediction of airflow in a ventilation system	10.1016/j.eswa.2022.116618		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2021	0	Supercomputing Frontiers and Innovations	Computational Resource Consumption in Convolutional Neural Network Training – A Focus on Memory	10.14529/jsfi210104		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2021	8	Informatica	Optimized Training for Convolutional Neural Network Using Enhanced Grey Wolf Optimization Algorithm	10.31449/inf.v45i5.3497		crossref	GPU memory bandwidth bound training convolutional neural network optimization
memoria	0.556	2021	4	Lithosphere	Training Image Optimization Method Based on Convolutional Neural Network and Its Application in Discrete Fracture Network Model Selection	10.2113/2021/4963324		crossref	GPU memory bandwidth bound training convolutional neural network optimization
