dossier_order	pretriage_order	sample_review_key	sample_id	duplicate_rows_in_dossier	source_review_ids	source_queues	source_lanes	source_queue_orders	pretriage_group	pretriage_group_label	pretriage_decision	pretriage_confidence	training_use_after_review	do_not_use_as	review_status	review_notes	final_taxonomy	final_decision	dataset	final_split	label_class	label_role	suggested_taxonomy	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	archetype_only_rank	specialist_probability	specialist_rank	specialist_mean_rank	rank_delta_fusion_to_max	negative_type	morphology_proxy	rgb_status	relief_status	visual_card	group_sheet	full_sheet	visual_reading
01	1	wl-pos-pos-es-pba-14588	wl-pos-pos-es-pba-14588	2	err-review-0025;err-review-0028	holdout_low_rank_positives;holdout_morphology_rescues	mamoa_specialist_positive_review	holdout_low_rank_positives#1;holdout_morphology_rescues#1	o_val_local_first	O Val local first	local_positive_boundary_review	high_model_signal_boundary_needed	positive_candidate_after_boundary_review	new_discovery_claim_without_review	pending				holdouts	test_o_val	1	positive	castro	Castro de Pena Lopesa	Narón	O Val (Santa María A Maior)	ES	-8.22594601477777	43.57701844556937	0.06230073	199	72	47	1.00000000	2	51	127		hilltop_hint	valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-01-castro-de-pena-lopesa.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-o-val-local-first.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Specialist score is strong against mamoa distractors; inspect visible boundary and source context before accepting.
02	2	wl-neg-neg-es-pba-14299	wl-neg-neg-es-pba-14299	1	err-review-0023	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#24	o_val_local_first	O Val local first	confirm_local_mamoa_non_castro_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_o_val	0	hard_negative	mamoa	Mámoa do Val/Mámoa de Santa Margarida	Narón	O Val (Santa María A Maior)	ES	-8.20522866984784	43.546610330164974	0.32277415	80	99	83	0.25713143	95	90	-19	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-02-mamoa-do-val-mamoa-de-santa-margarida.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-o-val-local-first.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
03	3	wl-pos-pos-es-pba-24710	wl-pos-pos-es-pba-24710	1	err-review-0031	holdout_morphology_rescues	mamoa_specialist_positive_review	holdout_morphology_rescues#12	positive_rescue	positive rescue	positive_boundary_review	high_model_signal_boundary_needed	positive_candidate_after_boundary_review	new_discovery_claim_without_review	pending				holdouts	test_trasancos	1	positive	castro	Castro de Punta Taraza	Valdoviño	Meirás (San Vicente)	ES	-8.198712287595123	43.60215405961929	0.96686012	4	3	3	1.00000000	1	4	1		coastal_promontory_hint	valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-03-castro-de-punta-taraza.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-positive-rescue.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show coastal/promontory morphology; inspect boundary instead of penalizing non-round shape.
04	4	wl-pos-pos-es-pba-24709	wl-pos-pos-es-pba-24709	1	err-review-0030	holdout_morphology_rescues	mamoa_specialist_positive_review	holdout_morphology_rescues#11	positive_rescue	positive rescue	positive_boundary_review	high_model_signal_boundary_needed	positive_candidate_after_boundary_review	new_discovery_claim_without_review	pending				holdouts	test_trasancos	1	positive	castro	Castro de Punta Frouxeira	Valdoviño	Valdoviño (Santaia)	ES	-8.148872875517807	43.618480398789906	0.93602800	7	4	4	0.99999962	3	6	3		coastal_promontory_hint	valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-04-castro-de-punta-frouxeira.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-positive-rescue.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show coastal/promontory morphology; inspect boundary instead of penalizing non-round shape.
05	5	wl-pos-pos-es-pba-10262	wl-pos-pos-es-pba-10262	1	err-review-0032	holdout_morphology_rescues	mamoa_specialist_positive_review	holdout_morphology_rescues#13	positive_rescue	positive rescue	positive_boundary_review	medium_model_signal_boundary_needed	positive_candidate_after_boundary_review	new_discovery_claim_without_review	pending				holdouts	test_trasancos	1	positive	castro	Necrópole de Santa Comba/Castro de Santa Comba	Ferrol	Covas (San Martiño)	ES	-8.282642845995516	43.559082757693524	0.97212417	3	2	2	0.99999575	4	2	1		generic_castro_hint	valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-05-necropole-de-santa-comba-castro-de-santa-comba.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-positive-rescue.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Specialist score is strong against mamoa distractors; inspect visible boundary and source context before accepting.
06	6	wl-pos-pos-es-pba-24674	wl-pos-pos-es-pba-24674	2	err-review-0026;err-review-0029	holdout_low_rank_positives;holdout_morphology_rescues	mamoa_specialist_positive_review	holdout_low_rank_positives#11;holdout_morphology_rescues#5	positive_rescue	positive rescue	positive_boundary_review	medium_model_signal_boundary_needed	positive_candidate_after_boundary_review	new_discovery_claim_without_review	pending				holdouts	test_trasancos	1	positive	castro	Castro da Punta do Vico	Valdoviño	Valdoviño (Santaia)	ES	-8.147683735016127	43.62230830936563	0.26762530	93	25	13	0.99996177	6	37	68		coastal_promontory_hint	valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-06-castro-da-punta-do-vico.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-positive-rescue.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show coastal/promontory morphology; inspect boundary instead of penalizing non-round shape.
07	7	wl-pos-pos-es-pba-24678	wl-pos-pos-es-pba-24678	1	err-review-0027	holdout_low_rank_positives	mamoa_specialist_positive_review	holdout_low_rank_positives#21	positive_rescue	positive rescue	positive_boundary_review	medium_model_signal_boundary_needed	positive_candidate_after_boundary_review	new_discovery_claim_without_review	pending				holdouts	test_trasancos	1	positive	castro	Castro de Coto Redondo	Valdoviño	Pantín (Santiago)	ES	-8.110405528230721	43.64384397902806	0.47510947	54	64	111	0.99790934	8	31	-10		hilltop_hint	valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-07-castro-de-coto-redondo.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-positive-rescue.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Specialist score is strong against mamoa distractors; inspect visible boundary and source context before accepting.
08	8	wl-neg-neg-es-pba-8715	wl-neg-neg-es-pba-8715	1	err-review-0002	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#2	mamoa_strong_model_confuser	mamoa strong model confuser	confirm_mamoa_specific_hard_negative	high_taxonomy_high_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa do Rego da Moa	Fene	Barallobre (Santiago)	ES	-8.175129668390355	43.450897497780126	0.61573051	35	24	12	0.95558477	18	27	11	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-08-mamoa-do-rego-da-moa.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-strong-model-confuser.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
09	9	wl-neg-neg-es-pba-24846	wl-neg-neg-es-pba-24846	1	err-review-0009	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#9	mamoa_strong_model_confuser	mamoa strong model confuser	confirm_mamoa_specific_hard_negative	high_taxonomy_high_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)	ES	-8.050266230012467	43.6232429879672	0.42819688	58	38	21	0.82864178	34	38	20	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-09-mamoa-de-pena-moura.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-strong-model-confuser.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
10	10	wl-neg-neg-es-pba-8682	wl-neg-neg-es-pba-8682	1	err-review-0001	holdout_top_false_positives	mamoa_false_positive_review	holdout_top_false_positives#1	mamoa_archaeological_hard_negative	mamoa archaeological hard negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	archaeological_hard_negative_not_generic_absence	generic_absence	pending				holdouts	test_trasancos	0	hard_negative	mamoa	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)	ES	-8.132051265443264	43.4784901008791	0.63027339	34	37	34	0.59351267	47	40	-3	megalithic_mound		valid	valid	reports/figures/weak_label_p0_pretriage_v1/p0-10-mamoa-do-monte-marraxon-iv-1.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-mamoa-archaeological-hard-negative.png	reports/figures/weak_label_p0_pretriage_v1/p0-pretriage-all.png	Contact sheets show castro-like circular/anular relief distractors; confirm taxonomy and keep as specific archaeological hard negatives.
