task_id	priority	site_id	primary_name	municipality	parish	dataset_use	split	has_coordinates	qgis_action	suggested_decision	notes
task-0010	P0	tra-fene-ga15035011	Castro de Cordoeiro	Fene	Perlío	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014; posible relación con As Pías/Río Castro a revisar
task-0005	P0	tra-fene-fontenova	Castro de Fontenova	Fene	San Xurxo de Magalofes	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0013	P0	tra-fene-ovra	Castro de Ovra	Fene	Santa María de Sillobre	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0028	P0	tra-ferrol-ferreiros	Castro de Ferreiros	Ferrol	Santa Uxía de Mandiá	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0042	P0	tra-ferrol-o-xeixo	Castro de O Xeixo	Ferrol	San Pedro de Leixa	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0043	P0	tra-ferrol-papoy	Castro de Papoy	Ferrol	San Pedro de Marmancón	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0069	P0	tra-naron-vilasuso	Castro de Vilasuso	Narón	Santa María Maior do Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial. | 3 coordenadas candidatas en fuentes; se eligió Patrimonio Galego por prioridad.
task-0066	P0	tra-naron-ga15054037	X-07 Castro de A Pedreira	Narón	O Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0056	P0	tra-naron-ga15054001	X-39 Monte do Castro	Narón	O Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	
task-0057	P0	tra-naron-ga15054002	X-41 Castro de Quintá	Narón	O Val	positive_o_val_holdout	test_o_val	yes	Verificar coordenada y dibujar polígono/buffer; mantener fuera de entrenamiento.	verify_holdout_polygon	Presente en lista clásica Pena/Calaméo nº 14. | 4 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0073	P0	tra-naron-x-50-cercado-neolitico-da-lagoa-pena-grande	X-50 Cercado neolítico da Lagoa / Pena Grande	Narón	O Val	review_only	review_only	yes	Resolver tipología castro/cercado neolítico; no usar como positivo.	resolve_typology	Pena Grande/Lagoa: no usar como positivo hasta resolver castro vs cercado neolítico. | no tratar automáticamente como castro; caso conflictivo | 2 coordenadas candidatas en fuentes; se eligió PXOM Narón 2023/2024 por prioridad.
task-0076	P0	tra-neda-castros	Castros	Neda	San Martiño de Neda	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014, TOP15055002; topónimo/yacimiento a comprobar
task-0078	P0	tra-neda-monte-de-rabadena	Monte de Rabadeña	Neda	Santa María de Neda	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Plan Sectorial 2014, clave GA15055005; no sustituye al catálogo completo
task-0083	P0	tra-san-sadurnino-castro-das-croas	Castro das Croas	San Sadurniño	San Sadurniño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	equivalente probable al Castro de San Sadurniño | Presente en lista clásica Pena/Calaméo nº 68.
task-0091	P0	tra-san-sadurnino-fraga	Castro de Fraga	San Sadurniño	Santa María de Bardaos	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0096	P0	tra-san-sadurnino-san-cristobal	Castro de San Cristóbal	San Sadurniño	Santa María de San Sadurniño	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
task-0087	P0	tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro	Coto da Croa ou A Croa do Castro	San Sadurniño	Bardaos	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	catálogo NNSS San Sadurniño | solo pista nominal O Noso Patrimonio; confirmar
task-0088	P0	tra-san-sadurnino-coto-da-croa-ou-a-croa-do-castro-2	Coto da Croa ou A Croa do Castro	San Sadurniño	Monte	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	posible Escoitadoira/A Croa do Castro; distinguir de Bardaos
task-0098	P0	tra-valdovino-as-filgueiras	Castro de As Filgueiras	Valdoviño	San Vicente de Meirás	needs_geocoding	review_only	no	Buscar coordenadas en PXOM/Xunta/PNOA antes de usar.	geocode_then_reclassify	Entrada de la lista clásica Pena/Calaméo pendiente de reconciliación con catálogo oficial.
