decision_seed_id	dossier_order	sample_review_key	sample_id	autonomous_seed_status	accepted_label_status	can_enter_training_now	autonomous_decision	training_gate	proposed_training_use	geometry_action	seed_geometry_role	review_risk	next_qgis_action	dataset	final_split	pretriage_group	pretriage_decision	pretriage_confidence	suggested_taxonomy	label_class	name	municipality	parish	country	longitude	latitude	fusion_probability	fusion_rank	max_safety_rank	specialist_probability	specialist_rank	specialist_mean_rank	negative_type	morphology_proxy	visual_card	review_buffer_m	source_queues	source_lanes	source_review_ids	rationale
p0-seed-001	01	wl-pos-pos-es-pba-14588	wl-pos-pos-es-pba-14588	proposed_not_final	not_accepted	no	positive_boundary_review_required	needs_reviewed_polygon_before_strong_training	positive_candidate_after_boundary_review	draw_or_refine_visible_castro_boundary	review_search_area_not_label	local_holdout_boundary_risk	inspect_RGB_DEM_slope_LRM_then_draw_boundary_or_mark_needs_followup	holdouts	test_o_val	o_val_local_first	local_positive_boundary_review	high_model_signal_boundary_needed	castro	1	Castro de Pena Lopesa	Narón	O Val (Santa María A Maior)	ES	-8.22594601477777	43.57701844556937	0.06230073	199	72	1.00000000	2	51		hilltop_hint	reports/figures/weak_label_p0_pretriage_v1/p0-01-castro-de-pena-lopesa.png	120	holdout_low_rank_positives;holdout_morphology_rescues	mamoa_specialist_positive_review	err-review-0025;err-review-0028	Known positive or specialist rescue; use the buffer only as a review search area. Do not convert this seed into an accepted positive polygon without boundary review.
p0-seed-002	02	wl-neg-neg-es-pba-14299	wl-neg-neg-es-pba-14299	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_o_val	o_val_local_first	confirm_local_mamoa_non_castro_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa do Val/Mámoa de Santa Margarida	Narón	O Val (Santa María A Maior)	ES	-8.20522866984784	43.546610330164974	0.32277415	80	99	0.25713143	95	90	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-02-mamoa-do-val-mamoa-de-santa-margarida.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0023	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-003	03	wl-pos-pos-es-pba-24710	wl-pos-pos-es-pba-24710	proposed_not_final	not_accepted	no	positive_boundary_review_required	needs_reviewed_polygon_before_strong_training	positive_candidate_after_boundary_review	draw_or_refine_visible_castro_boundary	review_search_area_not_label	variable_morphology_promontory_boundary_risk	inspect_RGB_DEM_slope_LRM_then_draw_boundary_or_mark_needs_followup	holdouts	test_trasancos	positive_rescue	positive_boundary_review	high_model_signal_boundary_needed	castro	1	Castro de Punta Taraza	Valdoviño	Meirás (San Vicente)	ES	-8.198712287595123	43.60215405961929	0.96686012	4	3	1.00000000	1	4		coastal_promontory_hint	reports/figures/weak_label_p0_pretriage_v1/p0-03-castro-de-punta-taraza.png	120	holdout_morphology_rescues	mamoa_specialist_positive_review	err-review-0031	Known positive or specialist rescue; use the buffer only as a review search area. Do not convert this seed into an accepted positive polygon without boundary review.
p0-seed-004	04	wl-pos-pos-es-pba-24709	wl-pos-pos-es-pba-24709	proposed_not_final	not_accepted	no	positive_boundary_review_required	needs_reviewed_polygon_before_strong_training	positive_candidate_after_boundary_review	draw_or_refine_visible_castro_boundary	review_search_area_not_label	variable_morphology_promontory_boundary_risk	inspect_RGB_DEM_slope_LRM_then_draw_boundary_or_mark_needs_followup	holdouts	test_trasancos	positive_rescue	positive_boundary_review	high_model_signal_boundary_needed	castro	1	Castro de Punta Frouxeira	Valdoviño	Valdoviño (Santaia)	ES	-8.148872875517807	43.618480398789906	0.93602800	7	4	0.99999962	3	6		coastal_promontory_hint	reports/figures/weak_label_p0_pretriage_v1/p0-04-castro-de-punta-frouxeira.png	120	holdout_morphology_rescues	mamoa_specialist_positive_review	err-review-0030	Known positive or specialist rescue; use the buffer only as a review search area. Do not convert this seed into an accepted positive polygon without boundary review.
p0-seed-005	05	wl-pos-pos-es-pba-10262	wl-pos-pos-es-pba-10262	proposed_not_final	not_accepted	no	positive_boundary_review_required	needs_reviewed_polygon_before_strong_training	positive_candidate_after_boundary_review	draw_or_refine_visible_castro_boundary	review_search_area_not_label	positive_boundary_uncertainty	inspect_RGB_DEM_slope_LRM_then_draw_boundary_or_mark_needs_followup	holdouts	test_trasancos	positive_rescue	positive_boundary_review	medium_model_signal_boundary_needed	castro	1	Necrópole de Santa Comba/Castro de Santa Comba	Ferrol	Covas (San Martiño)	ES	-8.282642845995516	43.559082757693524	0.97212417	3	2	0.99999575	4	2		generic_castro_hint	reports/figures/weak_label_p0_pretriage_v1/p0-05-necropole-de-santa-comba-castro-de-santa-comba.png	120	holdout_morphology_rescues	mamoa_specialist_positive_review	err-review-0032	Known positive or specialist rescue; use the buffer only as a review search area. Do not convert this seed into an accepted positive polygon without boundary review.
p0-seed-006	06	wl-pos-pos-es-pba-24674	wl-pos-pos-es-pba-24674	proposed_not_final	not_accepted	no	positive_boundary_review_required	needs_reviewed_polygon_before_strong_training	positive_candidate_after_boundary_review	draw_or_refine_visible_castro_boundary	review_search_area_not_label	variable_morphology_promontory_boundary_risk	inspect_RGB_DEM_slope_LRM_then_draw_boundary_or_mark_needs_followup	holdouts	test_trasancos	positive_rescue	positive_boundary_review	medium_model_signal_boundary_needed	castro	1	Castro da Punta do Vico	Valdoviño	Valdoviño (Santaia)	ES	-8.147683735016127	43.62230830936563	0.26762530	93	25	0.99996177	6	37		coastal_promontory_hint	reports/figures/weak_label_p0_pretriage_v1/p0-06-castro-da-punta-do-vico.png	120	holdout_low_rank_positives;holdout_morphology_rescues	mamoa_specialist_positive_review	err-review-0026;err-review-0029	Known positive or specialist rescue; use the buffer only as a review search area. Do not convert this seed into an accepted positive polygon without boundary review.
p0-seed-007	07	wl-pos-pos-es-pba-24678	wl-pos-pos-es-pba-24678	proposed_not_final	not_accepted	no	positive_boundary_review_required	needs_reviewed_polygon_before_strong_training	positive_candidate_after_boundary_review	draw_or_refine_visible_castro_boundary	review_search_area_not_label	positive_boundary_uncertainty	inspect_RGB_DEM_slope_LRM_then_draw_boundary_or_mark_needs_followup	holdouts	test_trasancos	positive_rescue	positive_boundary_review	medium_model_signal_boundary_needed	castro	1	Castro de Coto Redondo	Valdoviño	Pantín (Santiago)	ES	-8.110405528230721	43.64384397902806	0.47510947	54	64	0.99790934	8	31		hilltop_hint	reports/figures/weak_label_p0_pretriage_v1/p0-07-castro-de-coto-redondo.png	120	holdout_low_rank_positives	mamoa_specialist_positive_review	err-review-0027	Known positive or specialist rescue; use the buffer only as a review search area. Do not convert this seed into an accepted positive polygon without boundary review.
p0-seed-008	08	wl-neg-neg-es-pba-8715	wl-neg-neg-es-pba-8715	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_strong_model_confuser	confirm_mamoa_specific_hard_negative	high_taxonomy_high_confusion	mamoa	0	Mámoa do Rego da Moa	Fene	Barallobre (Santiago)	ES	-8.175129668390355	43.450897497780126	0.61573051	35	24	0.95558477	18	27	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-08-mamoa-do-rego-da-moa.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0002	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-009	09	wl-neg-neg-es-pba-24846	wl-neg-neg-es-pba-24846	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_strong_model_confuser	confirm_mamoa_specific_hard_negative	high_taxonomy_high_confusion	mamoa	0	Mámoa de Pena Moura	Valdoviño	Vilarrube (San Martiño)	ES	-8.050266230012467	43.6232429879672	0.42819688	58	38	0.82864178	34	38	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-09-mamoa-de-pena-moura.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0009	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
p0-seed-010	10	wl-neg-neg-es-pba-8682	wl-neg-neg-es-pba-8682	proposed_not_final	not_accepted	no	confirm_specific_archaeological_hard_negative	eligible_only_after_taxonomy_confirmation	mamoa_specific_hard_negative_not_generic_absence	confirm_mound_non_castro_and_keep_separate_from_absence	mamoa_review_buffer_not_absence_area	archaeological_distractor_not_absence	confirm_mamoa_taxonomy_or_mark_non_decidible	holdouts	test_trasancos	mamoa_archaeological_hard_negative	confirm_mamoa_specific_hard_negative	high_taxonomy_medium_confusion	mamoa	0	Mámoa do Monte Marraxón IV-1	Fene	Sillobre (Santa Mariña)	ES	-8.132051265443264	43.4784901008791	0.63027339	34	37	0.59351267	47	40	megalithic_mound		reports/figures/weak_label_p0_pretriage_v1/p0-10-mamoa-do-monte-marraxon-iv-1.png	120	holdout_top_false_positives	mamoa_false_positive_review	err-review-0001	Catalogued mamoa/distractor pattern; useful for castro-vs-mamoa separation only after review. Do not use as generic background absence.
