theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
6_spatial_leakage	group split overlapping samples data leakage evaluation	openaire	Cosmic Web Position and Dark Matter Halo Decomposition Independently Predict Asymptotic Velocity Deficit in 175 SPARC Galaxies: A Machine Learning Study with Blind Holdout Validation	2026		0					"Cosmic Web Position and Dark Matter Halo Decomposition Independently Predict Asymptotic Velocity Deficit in 175 SPARC Galaxies: A Machine Learning Study with Blind Holdout Validation AUTHOR: JANOS GABOR MELEGH TAIJITU Collaboration Spark-Network Project · 2026 Keywords: dark matter · rotation curves · machine learning · cosmic web · SPARC · galaxy kinematics · velocity deficit 📋 Preprint — Open Access · Zenodo This preprint is shared to provide full transparency of the numerical claims,data pipeline, and methodology prior to peer review.All reported results are reproducible from the TAIJITU Spark-Network pipeline.This document has not undergone formal peer review. Abstract We present a machine-learning analysis of 175 late-type galaxies from the SPARC database (Lelli et al. 2016), asking whether baryonic kinematic residuals, cosmic web position, and exact dark matter (DM) halo parameters independently predict the asymptotic velocity deficit Vdeficit = (Vflat − Vbar,outer)/Vflat — a purely kinematic, pipeline-independent measure of the baryon fraction at large radii. Using a leakage-free Random Forest pipeline with 100-split stratified cross-validation (development set n=111) and blind holdout validation (n=60), we find: (i) baryon residual features (ΔV²/V²obs in three radial zones) predict Vdeficit at holdout AUC = 0.719 ± 0.09, confirming that the baryonic mass distribution encodes the dark matter requirement without any DM model input; (ii) cosmic web position features (mark centrality, community membership) add +0.041 AUC on the holdout over baryon features alone (0.760 vs 0.719), a consistent finding across four independent runs (SUPPORTED, p 0, mean normalised deficit ΔV²/V²obs, mean Vobs. Global features: total ΔV² statistics, mean Vbar/Vobs (baryon fraction proxy), inner/outer ΔV² ratio (DM concentration proxy), number of ΔV² sign reversals (oscillation proxy), radial slope of normalised deficit. Block N (Network, 132 clean features): Cosmic web topology features from the Spark-Network pipeline, after leakage audit (§2.3). Block H (Hidden sector proxy, 6 features): Baryon residual variability metrics (ΔV² sign change rate, total standard deviation) and H6 spectral gap features (available for 60/175 galaxies; 35% coverage — excluded from main analysis). Block D (DM halo, 9 features; M1 model only): Best-fit parameters from four independent halo profile fits (NFW, DC14, Burkert, pseudo-isothermal): DC14 inner slope γ, NFW concentration, inner/outer zone RMSE per profile, total fit quality. 3.3 Models Model ID Blocks N features Primary question M5b: Baryon only B 28 Q1: Baseline — can baryons alone predict Vdeficit? M7: Baryon+Hidden B+H 32 Hidden sector oscillation signal M6: Baryon+Network B+N 160 Q2: Does cosmic web position add? M5: Baryon+Net+Hidden B+N+H 164 Full non-DM combination M1*: Baryon+DM B+D 37 Q3: Do DM halo parameters add? 3.4 Machine Learning Protocol All models use Random Forest classifiers (400 trees, no depth limit, min_samples_leaf=2, n_jobs=−1; scikit-learn 1.x). Development set cross-validation: 100-split stratified shuffle split, test fraction 0.20 (≈22 test galaxies per split). Missing values imputed with column median. Network features with >20% missingness excluded per model. Feature importance from full-sample fit for qualitative analysis; SHAP values for attribution. Statistical testing: For pairwise model comparisons we apply the Wilcoxon signed-rank test and paired t-test on the 100 AUC pairs from each run. We note explicitly that the 100 splits are not independent (they share galaxies in overlapping training sets), so reported p-values are measures of within-run consistency rather than classical hypothesis test statistics with 100 independent observations. We report % splits favouring each model as the primary evidence metric. Holdout protocol: The holdout set (60 galaxies) was untouched throughout all development and feature selection. Final holdout evaluation trains on the complete 111-galaxy development set (single fit, 10-seed average for stability) and predicts the holdout once. Binarisation uses the development-set median (0.4577) — not the holdout's own distribution — to ensure strict independence. PCA regularisation: For the M6 model (160 features, n=111 development galaxies) we additionally test PCA(20) + ExtraTrees(max_features=0.3) to address overfitting. The 20 components explain 95.3% of the network feature variance. 4.Results 4.1 Development Set Results Table 4 reports development set AUC values from four independent runs (v7f, v7g, v7h, v7i) differing only in random seed. The cross-run maximum AUC difference for any model is 0.036, consistent with expected stochastic variability (σ≈0.09). In all four runs: M1 > M5b, M6 > M5b, M1 ≈ M6, M7 ≈ M5b. Table 4. Development set AUC values (100-split stratified CV, Vdeficit target, n=111). Four independent runs shown to characterise stochastic variability. Model v7f v7g v7h v7i Mean ± range vs M5b (mean) M1*: Baryon+DM halo 0.7733 0.7553 0.7694 0.7761 0.768 ± 0.021 +0.073 M6: Baryon+Network 0.7758 0.7646 0.7588 0.7717 0.768 ± 0.017 +0.073 M5: Baryon+Net+Hidden 0.7662 0.7748 0.7596 0.7689 0.767 ± 0.015 +0.072 M6_pca_ET: PCA(20)+ExtraTrees 0.7483 0.7294 0.7394 0.7382 0.739 ± 0.019 +0.044 M5b: Baryon only 0.6963 0.7110 0.6836 0.6919 0.695 ± 0.027 reference M7: Baryon+Hidden 0.6917 0.7004 0.6902 0.6795 0.688 ± 0.020 −0.007 V14 references (BDI target — different target, not directly comparable): pure_observational [v14, BDI] AUC = 0.882 [95% CI: 0.862–0.899] — M1: Baryon+DM [v14, BDI] AUC = 0.960 — Figure 1 — Development Set AUC by Model (4 independent runs, Vdeficit target) 0.820.780.740.700.66M1★M6M6-PCAM5bM70.7680.7680.7390.6950.688 Figure 1. Development-set AUC for each model across four independent runs (v7f, v7g, v7h, v7i; dots). Horizontal bars show the cross-run mean. Note that M1 (DM halo, gold) and M6 (cosmic web, blue) achieve identical mean AUC (0.768) and both substantially exceed M5b (baryon only, green; mean 0.695). M7 (hidden sector, red) performs at or below M5b level, reflecting the 35% coverage limitation of the H6 spectral gap feature. All models use the T-type corrected MRT Vflat target. 4.2 Feature Importance Table 5 shows the top-15 Random Forest feature importances for the M5b (baryon only) and M6 (baryon+network) models from a full-sample fit (v6d/v6e, full feature importance runs). The dominance of outer-zone normalised deficit features is consistent across all models and all runs. Table 5. Top-15 Random Forest feature importances (full-sample fit). Left: M5b (baryon only). Right: M6 (baryon+network). # M5b feature Imp. # M6 feature Imp. 1 bary_dv2n_outer_mean 0.254 1 bary_dv2n_outer_mean 0.101 2 bary_vbar_frac_mean 0.115 2 bary_dv2n_total_mean 0.052 3 bary_dv2n_total_mean 0.097 3 bary_vbar_frac_mean 0.050 4 bary_dv2n_slope 0.063 4 bary_dv2n_mid_mean 0.031 5 bary_dv2n_mid_mean 0.053 5 net_rc_Rmax_to_Rd 0.029 6 bary_dv2n_inner_mean 0.050 6 net_Rmax_to_Rd 0.025 7 bary_r_max 0.034 7 net_role_Rmax_to_Rd 0.021 8 bary_dv2_mid_mean 0.033 8 bary_dv2n_inner_mean 0.017 9 bary_dv2_total_mean 0.032 9 bary_dv2_outer_mean 0.017 10 bary_dv2_outer_mean 0.026 10 net_rc_role_cell_id 0.014 11 bary_vobs_mid_mean 0.025 11 net_gas_frac 0.014 12 bary_dv2_total_std 0.022 12 bary_dv2_mid_mean 0.013 13 bary_vobs_outer_mean 0.021 13 bary_dv2_total_mean 0.012 14 bary_dv2_inner_mean 0.019 14 bary_dv2n_slope 0.012 15 bary_inner_outer_ratio 0.019 15 net_role_community_error 0.012 Network features (bold) that appear in the top-15 of M6 include: three versions of the disk-to-maximum-radius ratio (Rmax_to_Rd from feature store, community profiles, and role-cell; importance ~0.021–0.029), topological role cell identity (0.014), gas fraction proxy (0.014), and error-graph community membership (0.012). These features encode a combination of galaxy morphological compactness (Rmax_to_Rd) and graph-theoretic position — the former is a morphological proxy while the latter reflects genuine topological structure. Figure 2 — Top Feature Importances: M5b (left) vs. M6 (right) M5b: Baryon Onlybary_dv2n_outer_mean 0.254bary_vbar_frac_mean 0.115bary_dv2n_total_mean 0.097bary_dv2n_slope 0.063bary_dv2n_mid_mean 0.053bary_dv2n_inner_mean 0.050bary_r_max 0.034bary_dv2_mid_mean 0.033bary_dv2_total_mean 0.032bary_dv2_outer_mean 0.026M6: Baryon + Networkbary_dv2n_outer_mean 0.101bary_dv2n_total_mean 0.052bary_vbar_frac_mean 0.050bary_dv2n_mid_mean 0.031net_rc_Rmax_to_Rd ★ 0.029net_Rmax_to_Rd ★ 0.025net_role_Rmax_to_Rd ★ 0.021bary_dv2n_inner_mean 0.017bary_dv2_outer_mean 0.017net_rc_role_cell_id ★ 0.014net_gas_frac ★ 0.014bary_dv2_mid_mean 0.013bary_dv2_total_mean 0.012net_role_comm_error ★ 0.012Baryon featureNetwork feature (★) Figure 2. Feature importance (Random Forest, full-sample fit). Left: M5b baryon-only model — baryon outer-zone features dominate strongly. Right: M6 baryon+network model — network features (blue, ★) appear at ranks 5–7 (Rmax_to_Rd morphological proxies), 10–11 (role cell identity, gas fraction), and 15 (community membership). The Rmax_to_Rd ratio encodes the ratio of the outer rotation curve extent to the disk scale radius, combining morphological and kinematic information. 4.3 Statistical Validation Table 6. Wilcoxon signed-rank test and paired t-test results for M1 vs. M5b, four independent runs. All runs show consistent direction (M1 > M5b) and significant results (p M5b Wilcoxon W p (2-sided) t-stat p (t-test) v7f 0.6963 0.7733 +0.0771 76% 949.5 0.0000 −6.014 0.0000 v7g 0.7110 0.7553 +0.0443 61% 1562.0 0.0014 −3.658 0.0004 v7h 0.6836 0.7694 +0.0858 76% 873.5 0.0000 −6.640 0.0000 v7i (FINAL) 0.6919 0.7761 +0.0842 77% 882.0 0.0000 −6.543 0.0000 All 4 runs 0.695 avg 0.768 avg +0.073 avg 73% avg — all p≤0.0014 range −3.7 to −6.6 all p M1 (23%)M1 > M5b (77%) Figure 3. Distribution of per-split AUC difference (M1 − M5b) across 100 CV splits, v7i run. The distribution is centred at +0.084 (vertical dashed line), well to the right of zero (solid grey), with 77% of splits showing M1 > M5b. Wilcoxon W=882, p=0.0000. Note: the 100 splits are not independent; the figure shows within-run consistency, not a classical null-hypothesis test. 4.4 GPR Continuous Regression To assess whether Vdeficit can be predicted as a continuous quantity (rather than the median-split binary), we applied Gaussian Process Regression (Matérn 5/2 kernel + white noise) to the 28 baryon features. 5-fold CV results: R² = −0.046 ± 0.021, Spearman r = 0.137 ± 0.188. The optimised kernel has length_scale = 623, noise_level = 0.113 — the noise level substantially exceeds the signal, indicating that 28 baryon summary statistics do not predict the continuous Vdeficit value. The binary classification (AUC=0.695) performs far better, because the median-split separation is a coarser, more robustly estimable distinction than the absolute value. This finding is consistent across three runs producing identical kernel parameters. 4.5 Holdout Results — Blind Validation Table 7 presents the final holdout results from v7i, where M5b, M1, and M6 were each trained on the complete 111-galaxy development set (10-seed average) and predicted on the 60 holdout galaxies. Holdout binarisation used the development median (0.4577). Table 7. Final holdout results (v7i, n=60). Dev AUC from the same run for comparison. Δ = Holdout − Dev. All models generalise within ±1.5σ of their development mean. Model Dev AUC (v7g ref.) Dev ±std Holdout AUC Δ |Δ|/σ Generalises? Claim M6: Baryon+Network 0.7646 0.087 0.760 −0.005 0.06σ ✅ Yes CL-07 SUPPORTED M1*: Baryon+DM 0.7553 0.088 0.729 −0.027 0.31σ ✅ Yes CL-09 EXPLORATORY M5b: Baryon only 0.7110 0.092 0.719 +0.008 0.09σ ✅ Yes CL-01 SUPPORTED Figure 4 — Dev vs. Holdout AUC: Final Blind Validation 0.800.760.720.680.64M5b DevM5b Hold0.7110.719M1 DevM1 Hold0.7550.729M6 DevM6 Hold0.7650.760Dev (faded)Holdout (solid)All three models generalise (Δ within ±0.5σ dev) Figure 4. Development (faded) and holdout (solid) AUC for the three key models. All holdout values fall well within the development ±1.5σ range. M5b improves slightly on holdout (+0.008), M6 is virtually unchanged (−0.005), and M1 shows modest regression (−0.027, still within 0.3σ). M6 remains the best-performing model on the holdout (0.760), with M1 second (0.729) and M5b third (0.719). 5.Morphological Dependence Table 8 presents the BDI–Vdeficit correlation and segmented AUC results for three morphological subgroups. Correlations are computed on the full development set; segmented AUC from 30-split CV within each subgroup (to preserve statistical power given small n). Table 8. Vdeficit statistics and segmented AUC by morphological type. Segmented AUC uses subgroup-specific median for binarisation (30-split CV). Consistent across v7f, v7g, v7h, v7i runs. Morphological group T range n (dev) Vdef med. BDI r (Pearson) BDI r (Spearman) M5b AUC (avg) M1 AUC (avg) Dwarf/Irr T ≥ 8 49 0.460 −0.229 −0.136 0.619 0.612 Late Spiral (Sc–Sd) 5 ≤ T M5b. Partial correlation analysis (network features | halo parameters) would distinguish them but is left for future work. 6.2 The DM halo parameter signal (CL-09) On the development set, M1 (baryon+DM halo) consistently outperforms M5b across four runs (Δ=+0.044 to +0.086, Wilcoxon p≤0.0014 in all runs, 61–77% of splits favour M1). The DC14 γ parameter (inner profile slope) and NFW inner-zone RMSE are the dominant DM features. These encode information about the profile shape — specifically, how sharply the DM density rises toward the galactic centre — that the three-zone ΔV² summary statistics do not capture. This is physically expected: the amplitude of Vdeficit depends partly on the outer baryon fraction, but also on the total mass enclosed at large radii, which depends on the DM profile shape. The reduced advantage on holdout (Δ=+0.010, exploratory) may reflect: (a) mild overfitting of 9 halo parameters to the 111-galaxy development set; (b) genuine heterogeneity between development and holdout samples in the halo-parameter–Vdeficit relationship; or (c) sampling variability given n=60. We report this finding as exploratory and motivate its replication with larger samples as the highest priority for future work. 6.3 Comparison with the Radial Acceleration Relation The RAR (McGaugh et al. 2016) states gobs = f(gbar) with scatter of 0.057 dex. Our Vdeficit target is related but distinct: it measures the asymptotic baryon fraction rather than the point-by-point acceleration relation. The M5b AUC of 0.695 dev / 0.719 holdout is broadly consistent with the RAR in the sense that baryonic features do contain substantial Vdeficit information. However, the additional gains from network position (+0.041 holdout) and DM halo parameters (+0.010 holdout) suggest that the RAR does not fully determine Vdeficit — there is residual variance correlating with environment and profile shape. This is consistent with the known 0.057 dex scatter in the RAR: galaxies systematically above or below the mean relation correspond to those with higher or lower Vdeficit, and environment may contribute to this scatter. 7.Conclusions Five conclusions from this study C1. Baryon residual features (ΔV²/V²obs in three radial zones) predict the median-split Vdeficit at holdout AUC = 0.719 in 60 unseen SPARC galaxies, demonstrating that the baryonic mass distribution encodes substantial information about the asymptotic dark matter requirement without invoking any DM model. The outer-zone normalised deficit (bary_dv2n_outer_mean; importance 0.25 in M5b) is the dominant predictive feature across all models and all runs. C2. Cosmic web position features add +0.041 AUC on the blind holdout over baryon features alone (M6: 0.760 vs. M5b: 0.719). This finding is consistent across four independent development runs (Δ=+0.044 to +0.080) and confirmed by PCA regularisation. Whether this reflects DM assembly bias or baryonic environmental effects cannot be determined from this data alone. C3. Exact DM halo parameters (DC14/NFW/Burkert) consistently outperform baryon features on the development set (Δ=+0.044 to +0.086, Wilcoxon p≤0.0014 in all four runs, 61–77% of splits), indicating that DM profile shape information is not redundant with three-zone baryon residual summaries. C4. The DM halo parameter advantage is substantially smaller on the holdout (Δ=+0.010, exploratory), suggesting either mild overfitting of 9 halo parameters to the 111-galaxy development set, or genuine heterogeneity between development and holdout populations. This finding motivates replication with larger samples as the primary future work priority. C5. All predictability is substantially higher for early-type spiral galaxies (AUC≈0.83) than for late-type spirals (≈0.65) or dwarfs (≈0.62), consistent with early spirals having more regular kinematics and tighter baryon-to-total mass correlations. A critical methodological finding is the T-type morphological correction for Vflat estimation: using a byte-position scan parser without morphological validation produced Vdeficit(median) = −0.877 for early-type spirals, reversing the main finding (CL-09: NEGATIVE in v7d vs. SUPPORTED in v7f+). This demonstrates that kinematic target construction from heterogeneous databases requires explicit morphological stratification. 8.Limitations Limitation Impact Mitigation Small sample (n=171 usable; n=111 development). 100-split CV pairs are not independent. Medium. Wilcoxon p-values indicate within-run consistency, not classical null-hypothesis test with 100 independent samples. Four independent runs confirm direction. Holdout provides genuinely independent validation. p-values reported with explicit caveat. R2 risk: cosmic web position may be a DM proxy. Large-scale structure is shaped by dark matter; M6 ""adds"" result may reflect indirect DM information. Medium. CL-07 cannot be interpreted as evidence for modified gravity without partial correlation analysis. Explicitly stated in discussion. Partial correlation analysis (network | halo parameters) is priority future work. Vflat estimation: 71/171 galaxies use rotmod outer median instead of catalog Vflat. Medium. Early-type spirals use different estimator; sensitivity to source affects segmented AUC. Results reported separately by morphological subgroup. T-type correction validated. CL-09 holdout is exploratory (Δ=+0.010, below 0.02 pre-specified threshold; n=60 underpowered). High for this specific claim. Dev finding (p<0.001) motivates but does not prove generalisation. Reported as EXPLORATORY. Motivates sample expansion as primary future work. H6 spectral gap: 35% coverage (60/175 galaxies). M7 result is uninformative. High for CL-08. We make no claim about hidden sector physics. Phase 15 H6 extension to all 175 galaxies is required before any hidden-sector claim. Binary classification: GPR R²=−0.046 shows Vdeficit is not continuously predictable from baryon features. Low. Binary AUC finding is meaningful for the specific question asked; GPR result explicitly reported. Stated explicitly. Spearman r=0.137 confirms weak rank correlation. 9.Future Work Phase 1 (immediate): Full H6 spectral gap computation for all 175 galaxies (Phase 15 extension). This is the prerequisite for any hidden-sector claim (CL-08). Phase 2 (6–12 months): Partial correlation analysis — network features vs. Vdeficit, controlling for halo parameters. This will determine whether CL-07 reflects DM assembly bias or baryonic environmental physics. Phase 3 (6–12 months): Sample expansion to S4G, THINGS, LITTLE THINGS (n≥500). This would provide statistical power to test CL-09 holdout (currently exploratory) and enable meaningful morphological subgroup analysis (n≥100 per group). Phase 4 (1–2 years): Simulated data validation — apply the identical pipeline to IllustrisTNG or FIRE mock rotation curves with known DM profiles. If the baryon and network features show the same predictive structure in simulations as in observations, the physical interpretation is strengthened. Acknowledgements Data and Code Availability. All numerical results reported in this preprint are derived from the TAIJITU Spark-Network pipeline (versions v14, v6d–v6e, v7d–v7i). The complete pipeline notebooks, feature matrices, cross-validation AUC arrays, Wilcoxon test outputs, holdout results, and the TAIJITU_FINAL_claims_*.json claim ledger are available as supplementary materials on Zenodo alongside this preprint. The SPARC rotation curve database (Lelli et al. 2016) is publicly available at astroweb.cwru.edu/SPARC. The Spark-Network topology features are included in the supplementary data archive. This preprint was prepared to ensure full reproducibility and transparency of all numerical claims prior to formal peer review. We acknowledge the SPARC team (Lelli, McGaugh, Schombert et al.) for making the rotation curve database publicly available. We thank the Spark-Network project for the cosmic web feature pipeline. This work used Python (van Rossum & Drake 2009), NumPy (Harris et al. 2020), pandas (McKinney 2010), scikit-learn (Pedregosa et al. 2011), SHAP (Lundberg & Lee 2017), and Google Colaboratory. References Bosma, A. 1981, AJ, 86, 1825 — HI rotation curves of spiral galaxies Calderon, V. F. & Berlind, A. A. 2019, MNRAS, 490, 2367 — Machine learning and cosmic web environment Desmond, H. & Wechsler, R. H. 2015, MNRAS, 454, 322 — Halo assembly bias and galaxy properties Harris, C. R. et al. 2020, Nature, 585, 357 — Array programming with NumPy Katz, H. et al. 2017, MNRAS, 466, 1648 — DC14 dark matter halo model Lelli, F., McGaugh, S. S., & Schombert, J. M. 2016, AJ, 152, 157 — SPARC database Li, P. et al. 2020, ApJS, 247, 31 — Stellar mass-to-light ratios and SPARC fits Lundberg, S. M. & Lee, S.-I. 2017, NeurIPS — SHAP values for model explanation McGaugh, S. S., Lelli, F., & Schombert, J. M. 2016, PRL, 117, 201101 — Radial Acceleration Relation Navarro, J. F., Eke, V. R., & Frenk, C. S. 1996, MNRAS, 283, L72 — NFW profile Pedregosa, F. et al. 2011, JMLR, 12, 2825 — scikit-learn Rubin, V. C., Ford, W. K., & Thonnard, N. 1980, ApJ, 238, 471 — Rotation curves and dark matter van Rossum, G. & Drake, F. L. 2009, Python 3 Reference Manual"
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 10: Classification Evaluation Metrics for 70–30% data split with softmax activation function.			0		10.7717/peerj-cs.687/fig-10			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 7: Classification evaluation metrics for 70–30% data split with sigmoid activation function.			0		10.7717/peerj-cs.687/fig-7			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 12: Classification evaluation metrics for 80–20% data split with the tanH activation function.			0		10.7717/peerj-cs.687/fig-12			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 9: Classification evaluation metrics for 70–30% data split with the ReLU activation function.			0		10.7717/peerj-cs.687/fig-9			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Estimators for samples selected from multiple overlapping frames			0		10.31274/rtd-180817-3452			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 14: Classification evaluation metrics for 80–20% data split with the softmax activation function.			0		10.7717/peerj-cs.687/fig-14			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 11: Classification evaluation metrics for 80–20% data split with the sigmoid activation function.			0		10.7717/peerj-cs.687/fig-11			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 13: Classification evaluation metrics for 80–20% data split with the ReLU activation function.			0		10.7717/peerj-cs.687/fig-13			
6_spatial_leakage	group split overlapping samples data leakage evaluation	crossref	Figure 8: Classification evaluation metrics for 70–30% data split with the tanH activation function.			0		10.7717/peerj-cs.687/fig-8			
