negative_id	lat_wgs84	lon_wgs84	status	use	notes
neg-tra-0001	43.40000000	-8.36000000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0002	43.40000000	-8.34500000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0003	43.40000000	-8.33000000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0004	43.40000000	-8.31500000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0005	43.40000000	-8.30000000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0006	43.40000000	-8.28500000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0007	43.40000000	-8.27000000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0008	43.40000000	-8.25500000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0009	43.40000000	-8.24000000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0010	43.40000000	-8.22500000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0011	43.40000000	-8.21000000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
neg-tra-0012	43.40000000	-8.19500000	generated_candidate_requires_qgis_review	hard_negative_candidate	Punto generado automáticamente lejos de positivos conocidos; no asumir que sea negativo real sin revisión visual.
