theme	query	source	title	year	venue	cited_by	is_oa	doi	pdf_url	language	abstract
3_prior_shift	prior shift label shift correction classifier deployment	crossref	LEAP: Linear equations for classifier accuracy prediction under prior probability shift	2025	Machine Learning	0		10.1007/s10994-025-06878-y		en	Abstract The standard technique for predicting the accuracy that a classifier will have on unseen data ( classifier accuracy prediction —CAP) is cross-validation (CV). However, CV relies on the assumption that the training data and the test data are sampled from the same distribution, an assumption that is often violated in many real-world scenarios. When such violations occur (i.e., in the presence of dataset shift ), the estimates returned by CV are unreliable. The contribution of this paper is three-fold. First, we propose a CAP method specifically designed to work under prior probability shift (PPS), an instance of dataset shift in which the training and test distributions are characterized by different class priors. This method estimates the $$n^2$$ entries of the contingency table of the test data (thus allowing to estimate the value of any specific evaluation measure) by solving a system of $$n^2$$ independent linear equations, with n the number of classes. Second, we show that the equations that the cells of the contingency table must satisfy are actually more than $$n^2$$ , which gives rise to an overconstrained problem, and present a family of methods each based on a different selection of $$n^2$$ such equations. Third, we observe that, since a key step of the above methods involves predicting the class priors of the test data, one can exploit intuitions from the field of class prior estimation (a.k.a. “quantification”). Our experiments show that, when combined with state-of-the-art quantification techniques, under PPS our methods tend to outperform existing CAP methods.
3_prior_shift	prior shift label shift correction classifier deployment	crossref	A unified framework for label shift quantification			0		10.70675/8848fbe1ze611z43d3z937azf54fa35decf2			"Cadre unifié pour la quantification label shift Il n'est pas rare qu'en classification supervisée, l'information recherchée ne soit pas de nature locale, c'est-à-dire associer à chaque point un label, mais de nature globale : obtenir les proportions des différents labels dans l'échantillon.Ce problème, que nous avons choisi de désigner sous le nom de ""label shift quantification"", mais qui porte aussi de nombreux autres noms dans la littérature, a vu depuis le milieu des années 2000 une multiplication des articles publiés. Cependant, ces travaux sont souvent menés en parallèle, issus de communautés dialoguant peu, ce qui a résulté en une bibliographie parsemée.Dans ce manuscrit, nous proposons d'abord une revue de ces différents travaux avec un double objectif : d'une part, créer un pont entre ces communautés en présentant des résultats issus des différents domaines de recherche, et d'autre part, resituer la suite des travaux menés dans leur contexte, notamment en s'intéressant aux efforts d'unification des méthodes.Dans un second temps, nous proposons un cadre unifiant plusieurs méthodes classiques de la littérature basées sur des vectorisations par moyenne. Nous étudions les garanties théoriques de ces méthodes et montrons des résultats de robustesse lorsque l'hypothèse centrale de label shift n'est plus vérifiée. Nous proposons aussi une extension de ce travail, centrée sur des vectorisations par noyaux, utilisant l'information de la covariance et non plus seulement la moyenne.Enfin, dans un troisième temps, nous nous intéressons à l'utilisation d'une vectorisation particulière basée sur les Random Fourier Features dans des applications en cytométrie en flux."
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Orthogonal label switching using polarization-shift-keying payload and amplitude-shift-keying label	2005	IEEE Photonics Technology Letters	10		10.1109/lpt.2005.857590			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Label Shift Estimation With Incremental Prior Update	2025	Proceedings of the 2025 SIAM International Conference on Data Mining (SDM)	2		10.1137/1.9781611978520.12		en	
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Robust, automated sleep scoring by a compact neural network with distributional shift correction			0		10.37473/dac/10.1101/813345			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Robust, automated sleep scoring by a compact neural network with distributional shift correction			0		10.37473/fic/10.1101/813345			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Deployment-Oriented Evaluation of Fraud Detection Systems Under Distribution Shift	2026		0		10.2139/ssrn.6835323			Fraud detection models are typically assessed on ranking metrics such as ROC-AUC, yet operational deployment requires more: calibrated probability outputs, decision thresholds that fit within reviewer-capacity budgets, and explanations that guide intervention rather than merely describe predictions. We propose the Deployment-Oriented Evaluation Protocol (DEP), a model-agnostic five-axis specification that combines (i) discrimination with bootstrap uncertainty quantification, (ii) probability calibration assessed in the operationally relevant intermediate range, (iii) cost analysis at both unconstrained and capacity-constrained optima, (iv) robustness to temporal ordering, prevalence shift, and feature ablation, and (v) explainability that separates statistical attribution from operational actionability. We instantiate DEP on two public datasets, PaySim and the UCI credit card fraud benchmark, using logistic regression, Random Forest, and XGBoost under chronological train-test splits. On PaySim, logistic regression achieves ROCAUC 0.986 and PR-AUC 0.957. The unconstrained cost-minimising threshold flags 15.6% of legitimate transactions; enforcing a 1% false-positive budget raises total loss from 7,432 to 83,524 units—an 11.2× increase. On the credit card dataset, XGBoost leads on discrimination yet incurs the highest financial loss (2,023 vs. 1,809 for logistic regression), a reversal consistent with probability calibration differences: ensemble outputs require near-zero decision thresholds that generate false-positive volume beyond realistic review capacity. Three balance-consistency features account for a 36.7% drop in PR-AUC when removed. SHAP and counterfactual analysis show that the features with the highest statistical importance are not the same as the features that drive actionable risk reduction, a distinction that matters for how explainability outputs reach fraud detection analysts.
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Overcoming both Domain Shift and Label Shift for Referring Video Segmentation	2025	Findings of the Association for Computational Linguistics: NAACL 2025	0		10.18653/v1/2025.findings-naacl.167			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Table 6: Algorithm performance comparison under label shift heterogeneity (mean $\pm$ std over five runs).			0		10.7717/peerj-cs.3972/table-6			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Optical packet labeling using polarization shift keying (PoISK) label and amplitude shift keying (ASK) payload	2005	OFC/NFOEC Technical Digest. Optical Fiber Communication Conference, 2005.	0		10.1109/ofc.2005.192564			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Synthetic, Adversarial and Natural Corruptions : Image Classifier Robustness Transfers From one Distribution Shift to an Other			0		10.70675/1d99157bza0afz441dza84fz1d1091fc264f			Corruptions Synthétiques, Adversaires et Naturelles : Tranferts de Robustesse des Classifieurs d'Images d'un Changement de Distribution à un Autre Les réseaux de neurones artificiels ont obtenu des performances sans précédent dans de nombreuses tâches de vision par ordinateur. Ils ont ainsi attiré l'attention des acteurs industriels et académiques. En effet, des réseaux de neurones ont par exemple des taux de réussite extrêmement prometteurs en détection de tumeurs cancéreuses ou dans l'identification de comportements agressifs sur des images vidéo.Cependant, les performances des réseaux chutent drastiquement lorsqu'ils rencontrent des images dites corrompues. Ils sont par exemple sensibles aux contre-jours, aux bruits de grenaille et même à des motifs trompeurs pouvant être introduits spécifiquement pour les perturber.Pour lutter contre cette vulnérabilité, on cherche généralement à rendre les réseaux de neurones robustes à diverses corruptions avant de les déployer. L'idée étant que des modèles certifiés comme étant robustes à diverses corruptions durant leur phase de conception, ont plus de chances d'être robustes aux corruptions qu'ils rencontreront ensuite. Malheureusement, cette intuition n'est pas toujours vérifiée, car la robustesse certifiée en amont vis-à-vis de certaines corruptions, n'est pas toujours représentative de la robustesse aux corruptions survenant après déploiement. Par exemple, un modèle certifié comme étant robuste aux changements de luminosité, n'est pas nécessairement robuste aux variations de l'ensoleillement.En réalité, nous ne savons pas vraiment quelles corruptions considérer lors d'une mesure de robustesse, pour fournir aux réseaux une garantie vis-à-vis des corruptions qu'ils pourraient rencontrer ensuite. Pour combler cette lacune, nous proposons dans cette thèse d'étudier dans quels cas, le fait d'être robuste à une corruption implique d'être robuste à une autre. En d'autres termes, on aimerait savoir quelle garantie sur la robustesse d'un réseau a-t-on, si l'on sait que celui-ci est robuste à des corruptions données.Pour apporter des éléments de réponse, nous commençons par démontrer que la robustesse aux corruptions adversaires, qui exploitent la structure interne des réseaux, n'est pas corrélée à la robustesse aux corruptions synthétiques codées à la main. Ces deux aspects de la robustesse des réseaux sont indépendants. Puis, nous proposons une méthode de data augmentation nommée M-TLAT, capable d'améliorer la robustesse des réseaux à ces deux types de corruptions simultanément. Ces résultats montrent par ailleurs, que certifier la robustesse à quelques corruptions complexes bien choisies, peut augmenter la robustesse des réseaux à un grand ensemble de perturbations.Dans un deuxième temps, nous établissons une nouvelle catégorisation des corruptions synthétiques, de telle manière que le fait d'être robuste à une corruption d'une catégorie donnée, implique d'être robuste aux corruptions appartenant à cette même catégorie. A l'inverse, les corruptions appartenant à des catégories différentes ne sont pas corrélées en termes de robustesse. Ces catégories montrent en l'occurrence, que des benchmarks de corruptions synthétiques dont l'usage est largement répandu, donnent trop d'importance au fait d'être robuste à certaines corruptions; négligeant ainsi la robustesse à d'autres types de corruptions. En définitive, pour résoudre cela, nous fournissons des recommandations visant à construire des benchmarks moins biaisés. Il est par ailleurs intéressant de noter que les benchmarks construits en suivant nos critères, fournissent des estimations tout à fait prédictives de la robustesse des réseaux aux corruptions dites naturelles; ce qui peut être particulièrement utile dans un contexte industriel.
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Figure 3: Our shift predictor architecture is designed to predict both the shifted latent vector P shift and the corresponding class label P class .			0		10.7717/peerjcs.2553/fig-3			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	ORCO: An Entropy Based Adaptive Residue-Type Classifier for Partial Protein NMR Chemical Shift Observations	2026		0		10.2139/ssrn.7182159			Residue typing of a spin system based on partial solid-state nuclear magnetic resonance (ssNMR) chemical-shift data is often ambiguous because multiple amino-acid types can exhibit similar chemical shift profiles. We introduce ORCO, an entropy based adaptive residue-typing method that uses residue-type- and secondary-structure-specific chemical-shift means and standard deviations to calculate a ranked probability distribution over the 20 canonical amino-acid types. Given the chemical shifts of a spin system, ORCO uses the entropy of the resulting probability distribution to dynamically construct a set of plausible residue types, with the set size adapting to their ambiguity. We evaluated ORCO using 101 high-quality protein data containing 14,519 residues. Using only Cα and Cβ chemical shifts, the ORCO prediction sets contained the correct residue type for 88.7% of residues, with a mean set size of 3.31 residue types. Including N and CO chemical shifts reduced the mean set size to 2.75 residue types while maintaining 88.7% coverage. ORCO therefore provides uncertainty-adaptive residue-type predictions, a prerequisite step for automated sequential resonance assignment, particularly useful for large proteins studied by ssNMR.
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Nonlinear shift estimation and optimal sensor deployment for target tracking	2010	IEEE ICCA 2010	0		10.1109/icca.2010.5524124			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	A Simple Method for Classifier Accuracy Prediction Under Prior Probability Shift	2025	Lecture Notes in Computer Science	3		10.1007/978-3-031-78980-9_17		en	
3_prior_shift	prior shift label shift correction classifier deployment	crossref	A Novel Code Shift Keying for Label Superimposing in Optical Label Switching	2023		0		10.2139/ssrn.4330075			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Reducing Measurement Error through IPW-Correction under Covariate Shift: Satellite Based Poverty-Estimation	2026		0		10.2139/ssrn.6345538			The aim of this study is to reduce predictive error in satellite-based poverty estimation by focusing on image re-weighting rather than through expanding data collection. Model reliability in rural regions is among the most challenging in computer vision, with standard methodologies frequently underperforming when transitioned from urban training environments. Covariate shift, visual feature disparity, and biased sampling exacerbate these issues. Addressing them requires integrating econometric methods, specifically Inverse Probability Weighting (IPW), to mitigate the impact of domain misalignment. Using a pre-trained ResNet-18 and a density ratio estimator, the study investigates how importance sampling affects predictive accuracy. The findings suggest that traditional training strategies achieve limited success in target domains, but incorporating weighted bridge samples improves outcomes. L2 Regression results present a 7.22% reduction in Mean Squared Error on rural test data, though overall accuracy remains low due to inherent data limitations. They also show that weighting urban samples with rural visual characteristics more, is associated with modest improvements in model robustness. This study shows the importance of simple solutions in reducing algorithmic bias in socioeconomic AI.
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Evolving Intelligent Network Attack Classifier Under Label Distribution Shift	2026	IEEE Transactions on Network Science and Engineering	0		10.1109/tnse.2026.3669948			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Multispectral palmprint recognition based on three descriptors: LBP, Shift LBP, and Multi Shift LBP with LDA classifier	2022	2022 IEEE 2nd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA)	3		10.1109/mi-sta54861.2022.9837520			
3_prior_shift	prior shift label shift correction classifier deployment	crossref	FusionXNet-Edge: A Physics-Guided Lightweight Framework for Predictive Maintenance Under Cross-Domain Deployment Shift	2026		0		10.21203/rs.3.rs-9823210/v1			Abstract Industrial machine health monitoring increasingly requires compact predictive maintenance (PdM) models that can operate across heterogeneous sensor settings while maintaining low computational overhead. However, many deep learning approaches remain tightly coupled to individual datasets, computationally demanding, or difficult to interpret in deployment-constrained environments. This study presents FusionXNet-Edge, a compact physics-guided fusion framework designed for in-domain PdM prediction, and evaluates it under strict cross-domain transfer settings using the AI4I, MetroPT3, and Engine datasets. FusionXNet-Edge combines convolutional, recurrent, and multilayer perceptron branches with a lightweight auxiliary branch linked to physically motivated engineered signals. The framework uses a unified single-step input schema and leakage-controlled preprocessing to enable comparable evaluation across datasets while preserving a small parameter footprint. Performance is assessed using classification metrics, parameter count, model size, and latency-related efficiency proxies. The results show that FusionXNet-Edge achieves strong in-domain performance with a compact model footprint and reported single-sample inference latencies of 28.13-46.01 ms in the evaluation environment. Cross-domain experiments further show that transfer behaviour is selective and asymmetric across source-target pairs, highlighting both the practical value and the limitations of compact physics-guided PdM models under distribution shift. Overall, the study positions FusionXNet-Edge as a compact, efficiency-oriented candidate for resource-aware PdM, while also clarifying the remaining challenges for broader transferability and real-world validation.
3_prior_shift	prior shift label shift correction classifier deployment	crossref	Quantum federated learning in healthcare: The shift from development to deployment and from models to data	2023		9		10.21203/rs.3.rs-2723753/v1			Abstract Healthcare organizations have a high volume of sensitive data and traditional technologies have limited storage capacity and computational resources. The prospect of sharing healthcare data for machine learning is more arduous due to firm regulations related to patient privacy. The balanced protection of confidentiality, integrity, and availability of healthcare data, has become a major concern beyond classical data security considerations. In recent years, federated learning offers a solution to accelerate distributed machine learning addressing concerns related to data privacy and governance. Currently, the blend of quantum computing and machine learning has experienced significant attention from academic institutions and research communities. Quantum computers have shown the potential to bring huge benefits to the healthcare sector through efficient distributed training across several quantum nodes. The ultimate objective of this work is to develop a quantum federated learning framework (QFL) to tackle the optimization, security, and privacy challenges in the healthcare and clinical industries for medical imaging tasks. In this work, we proposed federated quantum convolutional neural networks (QCNNs) with distributed training across edge devices. To demonstrate the feasibility of the proposed QFL framework, we performed extensive experiments on medical datasets (Pneumonia MNIST, and CT-kidney disease analysis), which are non-independently and non-identically partitioned among the healthcare institutions/clients. The quantum federated global model maintained a high classification testing accuracy and generalizability and outperformed the locally train clients regardless of how unbalanced the medical data is distributed among the clients. The global model achieved the best performance as compared to local clients in terms of the area under curve of the receiver operating characteristic curve (AUCROC) (0.953) and an average of (0.98) on all classes for predicting outcomes on pneumonia and CT-kidney datasets, respectively. Moreover, the client selection mechanism is proposed to reduce the computation overhead at each communication round, which effectively improves the convergence rate. The proposed quantum federated learning framework is validated and assessed via large-scale simulations. Based on our results from numerical simulations, the deployment of distributed and secure quantum machine learning algorithms for enabling scalable and privacy-preserving intelligent healthcare applications would be extremely valuable.
