bucket	relevance	year	cites	venue	title	doi	oa_url	source_api	query
eficiencia	0.625	2026	0	SoftwareX	PowerDL: A unified in-memory GPU energy profiling and visualization toolkit for deep learning	10.1016/j.softx.2026.102627		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2026	0	AI	Scalable and Energy-Efficient AI: System-Level Profiling of NVIDIA GPU Clusters for Distributed LLM Training	10.3390/ai7070232		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2026	1	Energy	Efficient low-carbon construction pathways for energy ecosystems in sustainable cities through deep reinforcement learning management with green hydrogen diversified utilization under trust safe peer-to-peer trading and social welfare	10.1016/j.energy.2026.140839		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2025	1	ACM Transactions on Storage	TM-Training: An Energy-Efficient Tiered Memory System for Deep Learning Training in NPUs	10.1145/3721484		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2025	12	International Journal of Data Science and Analytics	Efficient deep learning training: an energy-conscious adaptive framework (ECAF)	10.1007/s41060-025-00749-4		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2024	45	Journal of Cleaner Production	Efficient training for energy management in fuel cell hybrid electric vehicles: An imitation learning-embedded deep reinforcement learning framework	10.1016/j.jclepro.2024.141360		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2023	53	Applied Energy	Training-efficient and cost-optimal energy management for fuel cell hybrid electric bus based on a novel distributed deep reinforcement learning framework	10.1016/j.apenergy.2023.121358		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2022	14	Energies	Cost Efficient GPU Cluster Management for Training and Inference of Deep Learning	10.3390/en15020474		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.625	2021	23	Applied Sciences	Efficient Use of GPU Memory for Large-Scale Deep Learning Model Training	10.3390/app112110377		crossref	energy efficient deep learning training GPU utilization profiling
datos	0.5	2026	0	Methods in Ecology and Evolution	Optimal deep learning activity recognition pipeline using animal bio‐logging data	10.1111/2041-210x.70340		crossref	efficient data pipeline deep learning disk decompression bottleneck
datos	0.5	2026	0	Cancers	Scalable and Efficient Deep Learning-Based Pipeline for Mitotic Detection and Analysis in Pathology Images	10.3390/cancers18111807		crossref	efficient data pipeline deep learning disk decompression bottleneck
lote	0.5	2026	0	Fundamental Research	NeutronJittor: Efficient CPU-GPU memory management for GNN training with Jittor	10.1016/j.fmre.2026.04.035		crossref	gradient accumulation limited GPU memory training
lote	0.5	2026	0	International Journal of Artificial Intelligence and Machine Learning	Gradient Checkpointing And Recomputation Strategies For Deep Learning On Memory-Limited Devices	10.51483/ijaiml.6.4s.2026.500-504		crossref	gradient accumulation limited GPU memory training
lote	0.5	2026	0	Neurocomputing	Memory-efficient neural network training via gradient compression through continuous basis tracking	10.1016/j.neucom.2026.133278		crossref	gradient accumulation limited GPU memory training
eficiencia	0.5	2026	0	Applied Sciences	A Carbon-Efficient Framework for Deep Learning Workloads on GPU Clusters	10.3390/app16020633		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.5	2026	0	Computing	Performance prediction in training of deep learning applications on GPU-based cloud services	10.1007/s00607-025-01613-w		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.5	2026	0	Computer Networks	DeepPlus: An adaptive deadline and fairness aware scheduler for accelerating mixed deep learning training and inference workloads in GPU cluster	10.1016/j.comnet.2025.111883		crossref	energy efficient deep learning training GPU utilization profiling
datos	0.5	2025	5	Digital Signal Processing	Real-time efficient image enhancement in low-light condition with novel supervised deep learning pipeline	10.1016/j.dsp.2025.105342		crossref	efficient data pipeline deep learning disk decompression bottleneck
lote	0.5	2025	0	Journal of the Operations Research Society of China	A Limited Memory Three Term Hestenes–Stiefel Nonlinear Conjugate Gradient Method	10.1007/s40305-025-00593-0		crossref	gradient accumulation limited GPU memory training
lote	0.5	2025	2	Pathophysiology	Limited Transfer of Working Memory Training to Instrumental Activities of Daily Living in Chronic Stroke Survivors: A Randomized Controlled Trial	10.3390/pathophysiology32030040		crossref	gradient accumulation limited GPU memory training
lote	0.5	2025	2	Journal of Parallel and Distributed Computing	GPU memory usage optimization for backward propagation in deep network training	10.1016/j.jpdc.2025.105053		crossref	gradient accumulation limited GPU memory training
eficiencia	0.5	2025	0	International Journal of Research Publication and Reviews	Deep Reinforcement Learning for Energy-Efficient Resource Allocation in 6G Networks	10.55248/gengpi.06.1125.39114		crossref	energy efficient deep learning training GPU utilization profiling
eficiencia	0.5	2025	1	Big Data and Cognitive Computing	Efficient Scheduling for GPU-Based Neural Network Training via Hybrid Reinforcement Learning and Metaheuristic Optimization	10.3390/bdcc9110284		crossref	energy efficient deep learning training GPU utilization profiling
datos	0.5	2024	0	International Journal of Innovative Research in Computer and Communication Engineering	Neural Pipeline Orchestration: Deep Learning Approaches to Software Development Bottleneck Elimination	10.15680/ijircce.2023.1107032		crossref	efficient data pipeline deep learning disk decompression bottleneck
datos	0.5	2024	4	IEEE Access	Incorporating Deep Learning Model Development With an End-to-End Data Pipeline	10.1109/access.2024.3456113		crossref	efficient data pipeline deep learning disk decompression bottleneck
datos	0.5	2024	0	Arid-zone Journal of Basic and Applied Research	A Data-Efficient Deep Learning Approach for Lung Nodule Segmentation	10.55639/607.02010006		crossref	efficient data pipeline deep learning disk decompression bottleneck
lote	0.5	2024	1	Numerical Algorithms	Limited memory gradient methods for unconstrained optimization	10.1007/s11075-024-01895-9		crossref	gradient accumulation limited GPU memory training
